Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.6774467851656791,0.26761109349120765,0.7352115403233614,0.39239394409135536,0.7564586321532687
Random Forest,0.7211295808646039,0.2928263750828363,0.6844805886339432,0.41017607983059207,0.7590332252922442
XGBoost,0.8583360763660303,0.0,0.0,0.0,0.7596498802828299
